City,Lat,Lng,Avg Temp (F),Avg Humidity (%),Avg Cloud Cover (%),Avg Wind Speed (mph)
Thinadhoo,0.53,72.93,82.22,99.90,36.6,10.71
Shache,38.42,77.24,14.39,72.15,60.5,4.43
Sakakah,29.88,40.1,42.93,59.80,6.1,5.17
Pouebo,-20.4,164.57,76.75,97.20,89.9,15.34
Butaritari,3.16,172.8,82.12,99.65,59.8,15.66
Ballina,-28.85,153.49,74.69,99.18,74,12.13
Pacific Grove,36.62,-121.92,51.25,87.00,22.1,4.75
Kaitangata,-46.28,169.85,70.04,74.00,49.6,7.08
Hilo,19.73,-155.09,71.99,99.95,68.1,8.31
Yenagoa,4.92,6.26,80.52,71.78,9.9,5.62
Saint-Philippe,-21.35,55.77,80.84,100.00,39,9.69
San Quintin,30.48,-115.95,55.65,53.03,10.9,3.22
Umzimvubu,-30.78,28.95,59.73,87.40,61,2.76
Gold Coast,-27.98,153.36,75.09,98.28,72.2,12.85
Dunedin,-45.87,170.5,67.86,81.85,34.9,5.40
Leningradskiy,69.38,178.42,11.65,79.28,12.8,7.30
Asau,-7.49,178.68,83.57,100.00,62.4,13.25
Puerto Ayora,-0.74,-90.35,76.69,95.93,48.5,8.27
Emerald,-37.93,145.43,68.50,79.43,48.9,5.94
Carnarvon,-24.87,113.63,83.91,75.00,0.9,19.35
Maragogi,-9.01,-35.22,78.59,90.03,52.6,7.36
Upernavik,72.79,-56.15,-1.44,100.00,33.9,9.03
Hanna,51.63,-111.9,7.47,81.38,62.9,8.91
Yelizovo,53.19,158.38,24.16,90.33,80.4,2.16
Houma,29.6,-90.72,54.48,94.48,26.8,11.84
Ocos,14.51,-92.19,81.46,98.75,17,5.54
Grand Gaube,-20.01,57.66,80.90,100.00,40.3,11.73
Cabo San Lucas,22.89,-109.91,73.20,98.03,26.2,5.22
Santa Eulalia Del Rio,38.99,1.54,57.37,99.70,32,13.95
Attawapiskat,52.93,-82.43,-1.95,73.10,57.4,8.93
Lorengau,-2.02,147.27,83.33,99.13,71,12.18
Bandarbeyla,9.49,50.81,74.12,100.00,42.4,18.08
Castro,-42.47,-73.77,54.82,86.63,36.4,5.24
Samusu,-14.01,-171.43,81.40,100.00,47.4,9.50
Coffs Harbour,-30.3,153.13,71.91,96.43,77.2,6.54
Minab,27.15,57.08,62.37,67.78,24.2,8.03
Torbay,47.67,-52.73,30.29,92.93,76.5,17.73
Beloha,-25.17,45.05,80.52,73.75,31.2,8.62
Saint-Francois,16.25,-61.27,77.57,99.28,65.5,20.62
Praia Da Vitoria,38.73,-27.07,61.16,100.00,74.1,14.25
Dekar,-21.53,21.93,74.19,79.25,49.1,6.65
Reefton,-42.11,171.86,69.45,80.58,20.5,4.23
Zhuhai,22.28,113.57,50.98,99.38,91.2,16.72
Cayenne,4.94,-52.34,78.52,87.05,80.8,7.91
Kupang,-10.17,123.58,80.60,95.40,63.7,20.31
Dudinka,69.41,86.18,9.42,83.50,77.4,16.72
Barentsburg,78.06,14.23,-5.03,82.58,38.9,4.27
Khatanga,71.97,102.5,-5.31,71.25,62.9,5.73
Bloomfield,40.81,-74.19,35.15,79.28,54.4,5.43
Thompson,55.74,-97.86,-13.16,63.25,41.4,6.74
Dauphin,51.15,-100.05,1.15,68.98,47.7,6.12
Bengkulu,-3.8,102.27,80.54,98.50,26.6,6.23
Bay Roberts,47.6,-53.26,29.58,93.95,77.3,14.91
Moerai,-22.43,-151.33,78.35,99.58,57.9,7.74
Hofn,64.25,-15.21,34.40,99.85,26.2,12.39
Ostrovnoy,68.05,39.51,1.77,75.18,33.4,5.30
Ribeira Grande,37.8,-25.47,60.72,99.98,65,13.92
Peniche,39.36,-9.37,56.31,96.90,7.7,16.46
Camacha,33.08,-16.33,62.19,100.00,64.9,26.85
Dzhusaly,50.66,58.27,-6.74,57.93,18.1,7.52
Ixtapa,20.7,-105.2,69.30,56.70,41,2.77
Tulum,20.22,-87.47,73.27,77.28,61,4.79
Salalah,17.02,54.09,70.74,97.08,0,9.73
Codrington,17.64,-61.82,77.73,99.98,58.7,21.65
Portland,-38.33,141.6,65.45,95.48,60.1,12.58
Cockburn Town,24.03,-74.52,75.26,97.25,43.7,21.96
Kavieng,-2.57,150.8,82.24,99.93,75.8,11.17
Bayir,30.76,36.68,39.67,86.80,20.9,4.56
San Francisco,-31.43,-62.08,78.16,57.00,19.7,8.13
Oktyabrskiy,54.48,53.47,3.54,74.08,28.3,15.08
Sentyabrskiy,60.49,72.2,12.01,73.90,60.2,8.84
Great Falls,47.5,-111.3,29.33,61.23,53.3,10.64
Cidreira,-30.18,-50.21,73.04,87.28,54.6,10.58
Sioux Lookout,50.1,-91.92,2.04,64.98,52.1,6.98
Mys Shmidta,68.88,-179.43,9.31,68.60,7.8,5.62
San Pedro,17.92,-87.97,74.11,95.00,81.1,10.88
Kincardine,44.18,-81.63,23.30,93.18,47.8,17.20
Vestmannaeyjar,63.44,-20.27,34.02,99.10,52.4,10.79
Avera,43.41,-94.83,13.63,84.70,25.4,9.86
Port Macquarie,-31.43,152.92,72.90,95.43,71.7,7.77
Aklavik,68.22,-135.01,-7.38,68.15,51.6,11.34
Talnakh,69.49,88.4,6.88,83.85,74.1,15.51
Marfino,55.7,37.38,18.46,86.33,78.8,11.55
Lebu,-37.62,-73.65,56.50,90.10,8.6,19.98
Sao Joao Da Barra,-21.64,-41.05,76.78,99.28,52.6,8.42
Mikhaylovka,53.83,76.55,-5.63,69.80,33.5,8.80
Catalina,48.52,-53.08,28.94,94.65,72.4,21.39
Iznoski,54.99,35.31,21.75,87.40,81.4,11.25
Port Lincoln,-34.73,135.86,69.05,85.15,62.2,17.56
Japura,-1.88,-66.93,80.07,86.90,30.2,3.09
Bubaque,11.28,-15.83,77.88,90.63,35.4,8.50
Hambantota,6.12,81.12,80.76,97.40,53.7,13.28
Warmbad,-28.45,18.73,78.02,31.30,7.7,7.30
Noumea,-22.28,166.46,77.90,93.05,65.4,12.11
Belushya Guba,71.55,52.32,25.62,83.88,63.4,14.72
Jalu,29.04,21.5,51.01,68.70,10.9,5.08
Joshimath,30.57,79.57,4.27,92.90,6.4,0.63
Cerritos,22.43,-100.28,51.92,77.88,61,5.54
Vao,-22.67,167.48,79.28,98.30,71,17.35
Chepareria,1.31,35.2,60.69,61.58,3.6,1.57
Ruatoria,-37.89,178.32,65.72,84.38,25.1,4.96
Mezen,65.85,44.24,10.26,84.98,57.8,3.60
Deputatskiy,69.3,139.9,-27.28,34.58,33.5,3.33
Bonthe,7.53,-12.51,82.22,78.40,19.1,3.75
Rio Grande,-32.03,-52.1,74.86,89.10,49,14.26
Barcelos,-0.97,-62.92,84.79,68.18,40.7,5.23
Asosa,10.07,34.53,71.20,34.58,0.2,5.70
Chara,56.91,118.26,-25.11,51.55,31.6,1.80
Nome,64.5,-165.41,-21.66,33.28,8.4,2.74
Quang Ngai,15.12,108.8,66.94,95.63,77.7,3.25
Klaksvik,62.23,-6.59,41.27,96.85,54.4,21.91
Namatanai,-3.67,152.43,80.39,100.00,80.5,10.63
Husavik,66.04,-17.34,26.77,99.95,78.2,3.48
Airai,7.4,134.57,82.02,99.93,70.4,14.75
Ambodifototra,-17,49.85,77.81,99.80,74.2,4.79
Esperance,-33.87,121.9,63.27,74.50,32.2,11.06
Saint Anthony,33.77,-118.18,61.39,85.25,11.9,5.66
Coruripe,-10.13,-36.18,80.86,95.83,51.5,14.28
Saint-Georges,3.89,-51.81,75.19,92.90,73.8,2.86
Ponta Do Sol,32.67,-17.1,62.47,100.00,48.2,24.54
Amderma,69.75,61.66,11.91,80.73,34,15.25
Lucapa,-8.42,20.74,72.02,89.08,47.3,5.06
Normal,40.51,-88.99,31.65,67.23,48.3,11.53
Najran,17.49,44.13,56.39,51.70,5.4,4.16
Borogontsy,62.67,131.17,-34.11,28.65,42.5,3.32
Kuusamo,66,29.25,15.33,86.15,71.7,4.15
Baoqing,46.33,132.21,-8.44,59.15,11.2,7.27
Tumannyy,54.09,90.33,-14.24,56.88,33.6,4.03
Mildura,-34.2,142.15,75.43,59.63,34.9,12.79
Formoso Do Araguaia,-11.8,-50.18,77.22,92.83,48.9,3.90
Channel-Port Aux Basques,47.57,-59.14,27.32,97.55,60.2,22.12
Ardon,52.74,32.31,28.33,90.93,83.1,14.38
Atasu,48.68,71.64,-8.38,50.58,9.9,7.40
Luang Prabang,19.88,102.13,66.77,84.08,24.4,2.22
Ayan,54.72,110.92,-24.99,48.43,28,2.00
Bangonay,9.31,125.55,77.47,98.45,76.8,8.64
Kruisfontein,-34,24.73,68.72,88.83,41.9,11.23
Aldan,58.6,125.39,-15.64,60.00,51.1,3.25
Santa Marta,11.24,-74.2,80.57,96.35,3.4,30.45
Hamilton,32.29,-64.78,66.83,97.53,37.1,22.01
Egvekinot,66.32,-179.17,4.11,72.98,29.3,2.64
Sur,22.57,59.53,69.27,97.13,1.3,10.41
Torquay,50.46,-3.51,49.63,96.83,70.5,19.56
Ust-Nera,64.57,143.2,-12.92,62.30,53.6,2.32
Jiwani,25.05,61.74,67.44,73.70,7.8,8.66
Cobija,-11.03,-68.77,79.79,82.25,31.1,2.99
Sola,-13.88,167.55,82.67,96.60,80.8,15.19
Kurilsk,45.23,147.88,24.26,99.98,49.1,12.61
Lompoc,34.64,-120.46,55.51,83.08,16,6.74
Sangar,63.92,127.47,-35.73,32.43,33.9,3.55
Cherskiy,68.75,161.3,16.92,68.10,33.4,7.41
Atar,20.52,-13.05,58.24,35.60,6,7.06
Doaba,33.42,70.74,37.19,88.53,41.7,2.47
Solovetskiy,65.08,35.64,24.19,96.03,81.2,7.91
Jiangyin,31.92,120.28,27.76,78.68,42.9,6.51
Celestun,20.87,-90.4,72.89,97.98,60.6,18.25
Mar Del Plata,-38,-57.56,71.14,65.83,16.1,11.05
General Roca,-39.03,-67.58,70.56,29.80,0.6,11.06
Grand River South East,-20.29,57.78,80.61,82.70,56.9,7.45
Tabiauea,0.92,173.03,81.66,99.68,52.9,16.77
Half Moon Bay,37.46,-122.43,52.51,90.58,23.9,7.05
Raglan,-37.8,174.88,72.42,87.13,19.1,13.17
Kirovsk,67.61,33.67,2.19,78.65,44.8,2.16
Vaitupu,-13.23,-176.19,82.98,99.95,60.4,9.68
Bradford,36.08,-88.81,39.14,72.18,32.1,10.53
Lincoln,40.8,-96.67,28.40,63.85,32.3,9.92
Tadine,-21.55,167.88,80.08,95.55,67.5,17.92
Abatskoye,56.29,70.46,2.17,72.95,27.9,12.10
Lasa,29.65,91.14,29.47,18.00,0,4.07
Byron Bay,-28.65,153.62,74.79,99.18,74,12.13
Charyshskoye,51.4,83.56,-7.97,47.03,24,4.67
Muros,42.78,-9.06,51.49,93.05,11.9,7.50
Souillac,-20.52,57.52,80.61,82.70,56.9,7.45
Tumkur,13.34,77.1,68.93,61.38,3.6,6.97
Thurso,58.59,-3.53,44.49,97.13,73.8,29.34
Doctor Pedro P. Pena,-22.45,-62.35,74.64,97.85,88.1,9.51
Marcona,-15.34,-75.08,67.23,91.68,34.1,8.73
East Wenatchee Bench,47.43,-120.28,30.57,81.03,30.5,4.60
Pomabamba,-8.83,-77.47,47.21,75.85,41.7,1.70
Grindavik,63.84,-22.43,37.75,100.00,49.9,14.60
Bontang,0.13,117.5,82.10,97.15,35.6,7.43
Taraz,42.9,71.37,-10.15,60.18,24.7,2.90
Waddan,29.16,16.14,48.17,69.55,14.6,5.52
Port Hardy,50.7,-127.42,38.40,98.15,83.7,7.47
Los Llanos De Aridane,28.66,-17.92,62.58,99.95,51.7,17.76
Mount Isa,-20.73,139.5,87.78,50.18,39.2,7.67
Puerto Del Rosario,28.51,-13.96,60.44,97.00,47.5,18.60
Limoges,45.83,1.26,39.31,93.75,41.3,5.12
Morondava,-20.28,44.28,81.81,90.75,15.8,5.00
Komsomolskiy,43.98,46.7,33.54,90.55,47.3,11.98
Paltinis,48.22,26.65,31.32,87.85,44.9,6.45
Buta,2.79,24.73,82.49,39.10,1.3,4.95
Synya,65.37,58.04,15.52,82.60,71.7,6.43
Moranbah,-22,148.05,83.11,55.38,8.8,9.00
Nantucket,41.28,-70.1,36.69,92.63,57.2,20.18
Homer,38.87,-98.8,35.24,49.43,18.7,8.67
Prince George,53.92,-122.75,9.32,77.98,61.7,2.38
Georgetown,-7.93,-14.42,77.32,100.00,70.7,14.83
Laguna,-28.48,-48.78,74.27,96.45,62.1,13.65
Brownsville,43.47,-72.47,25.82,69.00,45.6,4.07
Lithakia,37.72,20.83,53.91,100.00,16.2,6.63
Ust-Karsk,52.7,118.81,-21.34,41.78,15.2,2.67
Termini Imerese,37.98,13.7,40.61,94.23,14.3,2.10
Luderitz,-26.65,15.16,65.29,77.13,16.4,15.03
Alofi,-19.06,-169.92,78.94,99.25,89,14.93
Sabratah,32.79,12.49,59.37,99.08,20.3,10.63
Yar-Sale,66.83,70.83,9.71,85.35,29.2,14.59
Clyde River,70.47,-68.59,-29.69,79.63,24.1,5.89
Mount Gambier,-37.82,140.78,67.40,71.38,60.9,6.15
Halifax,44.65,-63.57,28.98,95.55,61.3,19.74
Chicama,-7.84,-79.15,70.23,87.15,16.5,3.19
Owando,-0.48,15.9,81.34,68.13,35.1,4.99
Isla Mujeres,21.23,-86.73,73.83,91.20,62.1,10.23
Huancabamba,-5.24,-79.45,60.84,80.40,48.7,1.29
Vilcun,-38.65,-72.23,55.38,69.20,5.2,3.80
Dingle,52.14,-10.27,48.88,94.23,86.1,20.70
Yemelyanovo,56.17,92.68,-2.91,66.18,53.4,7.60
Fredericton,45.95,-66.67,17.08,66.08,39.8,6.75
Tiksi,71.69,128.87,-28.59,37.78,32.7,4.92
Olenegorsk,68.15,33.3,6.29,82.90,58.7,2.67
Gorno-Chuyskiy,57.63,111.73,-8.42,58.98,61.2,5.38
Coihueco,-36.62,-71.83,68.89,47.18,0,12.27
Port Hawkesbury,45.62,-61.35,27.75,95.35,64.3,13.63
Miami,25.77,-80.19,68.69,84.25,63.3,14.69
Iklad,47.67,19.44,38.55,92.43,37.4,7.71
Smithers,54.78,-127.17,15.46,82.15,65.1,2.29
Lisakovsk,52.54,62.49,-4.58,61.60,13.7,8.51
Roseburg,43.22,-123.34,46.70,92.85,77.5,3.37
Svetlyy,51.67,45.63,13.97,85.08,56.4,12.56
Tarudant,30.47,-8.87,40.94,82.48,63.6,4.26
Odweyne,9.41,45.06,61.06,66.78,2.5,8.09
Stykkisholmur,65.08,-22.73,30.05,98.75,51.9,8.64
Koungou,-12.74,45.21,81.62,99.70,56.6,6.67
Demirci,39.05,28.66,30.54,72.10,0.4,2.75
Hukuntsi,-24,21.75,75.12,66.83,57.4,8.58
Bamiantong,44.93,130.53,-4.37,55.25,22.1,6.50
Kailua,21.4,-157.74,70.62,86.88,42.4,4.45
Talawdi,10.64,30.38,70.34,40.03,0.4,12.70
Cockburn Town,21.46,-71.14,77.64,98.78,37.7,23.51
Arraial Do Cabo,-22.97,-42.03,75.39,96.55,58.3,8.55
Narrabri,-30.33,149.6,76.26,61.10,31.6,9.26
Ketchikan,55.34,-131.65,33.49,100.00,67.5,8.64
Acari,-15.43,-74.62,64.73,72.53,21.2,2.46
Tsihombe,-25.32,45.49,79.96,75.30,34.9,7.42
Phan Rang,11.58,108.99,76.63,89.98,18.9,23.08
Sisimiut,66.94,-53.67,-6.99,68.20,50.3,2.48
Linxia,35.6,103.21,5.26,62.90,29.7,2.47
Melville,50.92,-102.8,-0.45,74.70,48.5,10.50
Tumarbong,10.38,119.46,80.52,98.90,43.8,11.72
Norman Wells,65.28,-126.83,-20.98,65.00,48.4,3.61
West Bend,43.43,-88.18,23.38,78.60,37.2,12.64
Gambela,8.25,34.58,74.04,49.75,13.8,3.33
Gavle,60.67,17.14,28.41,94.90,67.6,5.04
Sorland,67.67,12.69,34.42,100.00,39.2,13.45
Tefe,-3.35,-64.71,80.64,85.45,33.7,4.16
Privokzalnyy,58.88,60.73,11.06,59.85,42.4,8.56
Quatre Cocos,-20.21,57.76,80.61,82.70,56.9,7.45
Kerema,-7.96,145.78,77.18,84.70,72.9,2.85
Biak,-1.04,135.98,80.11,100.00,73.1,5.75
Funadhoo,6.15,73.27,81.79,99.90,27.2,6.83
Cavalcante,-13.8,-47.46,70.16,94.18,70.4,3.51
Severodvinsk,64.56,39.83,22.26,98.93,76.6,8.30
Princeton,49.46,-120.51,28.35,80.30,69.7,3.87
Dwarka,22.24,68.97,72.35,93.45,0,9.95
Ranong,9.97,98.63,80.90,98.00,21.8,6.51
Monrovia,6.3,-10.8,80.90,98.85,20.8,6.32
Pingdu,36.78,119.95,16.24,57.88,16,6.89
Belyy Yar,58.44,85.04,3.12,70.68,60.9,7.08
Hobyo,5.35,48.53,76.06,79.20,21.8,17.08
Hovd,44.67,102.17,-14.69,45.35,5,3.34
Belmonte,-15.86,-38.88,80.65,78.23,58,7.38
Saint-Pierre,46.77,-56.17,31.27,96.00,73.6,21.98
Bathsheba,13.22,-59.52,78.40,99.53,76.8,19.74
Isangel,-19.55,169.27,80.80,98.95,73.5,15.02
Boa Esperanca,-21.09,-45.57,72.14,87.15,62.8,5.14
Merauke,-8.47,140.33,84.65,84.78,75.9,11.57
Trelew,-43.25,-65.31,70.21,31.38,9.2,15.03
Mataram,-8.58,116.12,73.49,97.43,67.1,2.41
Keningau,5.34,116.16,72.03,91.73,52.6,1.68
Broken Hill,-31.95,141.43,78.42,48.28,38.1,13.54
Saskylakh,71.92,114.08,-16.15,61.93,57.4,4.27
Anamur,36.08,32.84,51.27,99.33,10,5.08
Tura,64.28,100.25,-4.91,66.88,42.1,4.52
Honningsvag,70.98,25.97,16.22,100.00,19,10.21
Shimoda,34.67,138.95,47.74,100.00,38.3,16.33
Saint-Augustin,51.23,-58.65,6.68,99.03,42.6,14.49
Francistown,-21.17,27.51,75.50,66.63,38.6,10.02
Mayo,63.59,-135.9,-26.85,44.43,21.8,2.72
Morgan City,29.7,-91.21,51.49,85.08,24.3,9.58
Lima,-12.04,-77.03,64.37,75.33,26.7,2.06
Bolungarvik,66.15,-23.26,23.38,99.38,53.4,3.88
Nhamunda,-2.19,-56.71,81.75,77.70,43.5,3.78
Abay,49.63,72.85,-14.15,51.93,12.4,5.93
Almaznyy,62.45,114.33,-6.24,67.95,65.7,4.21
San Cristobal,-0.9,-89.62,76.55,99.43,53.4,8.69
Nanortalik,60.14,-45.24,26.39,96.70,53.5,15.91
Haines Junction,60.75,-137.51,-14.86,68.55,52,2.25
Havelock,34.88,-76.9,47.23,93.28,39.9,9.54
Athabasca,54.72,-113.29,2.27,76.68,66.1,7.69
Kijang,0.9,104.63,81.61,91.05,42.7,12.53
Flinders,-38.47,145.02,69.54,90.35,45.5,12.70
Beringovskiy,63.05,179.32,23.89,93.25,48.9,8.48
Ko Samui,9.54,99.94,81.38,100.00,26.4,8.98
Sumter,33.92,-80.34,44.41,83.20,44,7.14
Trincomalee,8.57,81.23,78.67,75.05,67.7,9.68
Yarada,17.65,83.27,76.66,99.85,0.6,7.55
Penzance,50.11,-5.55,50.52,95.73,83.6,21.90
Buala,-8.14,159.59,81.37,96.55,72.4,12.22
Nizhniy Baskunchak,48.22,46.83,22.62,80.18,51.4,17.03
Steinbach,49.53,-96.68,-0.50,70.38,48.1,13.01
Naze,28.37,129.48,60.49,100.00,72.5,16.02
Tonstad,58.66,6.72,32.63,93.00,83.1,6.78
Paamiut,61.99,-49.67,25.77,99.55,53.8,15.88
Tromso,69.65,18.96,2.47,100.00,30.1,2.22
Jian,27.12,114.98,33.75,88.40,80.5,7.14
Aban,56.67,96.06,-2.25,71.00,52,10.31
Wanaka,-44.7,169.15,65.82,69.20,38.1,3.62
